Name,Cost,Power,Desc,Movable
Amy,3,4,,false
Big,,,,false
Biolizard,,,,false
Black Doom,,,,false
Blaze,,,,false
Chaos,3,1,"""Transforms into Chaos 1 when a Chaos Emerald is present""",false
Charmy,1,2,,false
Chip,,,,false
Cream,,,,false
Dark Gaia,,,,false
Eggman,6,5,"""On Reveal: Sends an Egg-Robo to each other location""",false
Egg-Pawn,,,,false
EggmanNega,,,,false
Espio,,,,false
FrenzyWisp,,,,false
Gamma,3,2,"""Ongoing: +1 for each enemy card here""",false
Giganto,6,15,,false
Infinite,5,-12,"""Ongoing: All cards here have their power inverted""",false
Knuckles,4,6,,false
Laser,1,0,"""On Reveal: +1 for each enemy card here""",false
Lyric,,,,false
Mephiles,6,12,,false
MetalSonic,,,,false
Mighty,,,,false
NegaWisp,2,2,"“On Reveal: Destroy other cards here, +2 for each”",false
Ray,1,2,"""Can be moved once""",true
Rouge,4,4,,false
Sage,,,,false
Shadow,5,8,Can be moved any turn,true
Silver,5,5,"""On Reveal: Take a 1-2 cost card and destroy an enemy 3-6 cost card""",false
Solaris,,,,false
Sonic,5,8,"""On Reveal: Applies -1 power to all enemy cards here""",false
Sticks,3,2,"""On Reveal: +1 for each other card here""",false
Tails,3,3,"""Can move itself and one other card once""",true
Tikal,,,"""The opponent can't play cards here next turn""",false
TimeEater,,,,false
Vector,,,,false
Zavok,,,,false
Zazz,,,,false
